TEAM_NAME,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four Factors_eFG%,Offense Four Factors_TOV%,Offense Four Factors_ORB%,Offense Four Factors_FT/FGA,Defense Four Factors_eFG%,Defense Four Factors_TOV%,Defense Four Factors_DRB%,Defense Four Factors_FT/FGA,Is_Playoff,Season_Year,Target_Top4,Target_Top2,Target_Champ,Has_Top5_MVP,All_NBA_Count,Conference,Age_Diff,Age_Rank,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,W_Rank,MOV_Rank,SRS_Rank,ORtg_Rank,NRtg_Rank,TS%_Rank,Post_ORtg_Rank,Post_NRtg_Rank,Post_TS_PCT_Rank,Team_3PM_per100_Rank,Team_AST_per100_Rank,Opp_TOV_forced_Rank,Clutch_Win_PCT_Rank,Post_AllStar_Win_PCT_Rank,DRtg_Rank,Post_DRtg_Rank,Team_TOV_per100_Rank,Opp_FG_PCT_Rank,Opp_FG3_PCT_Rank
Toronto Raptors,29.9,47.0,35.0,48,34,2.26,-0.57,1.69,105.9,103.4,2.5,90.9,0.285,0.167,0.51,0.468,12.1,30.8,0.213,0.476,13.3,73.2,0.212,1,2000,0,0,0,0,1,East,1.112000000000002,11.0,103.1,99.2,3.9,0.515,5.6,26.1,14.1,0.447,0.363,15.1,0.523,0.636,1.0,12.0,12.0,14.0,8.0,11.0,20.0,11.0,7.0,17.0,12.0,4.0,23.0,13.0,8.0,14.0,9.0,1.0,19.0,22.0
Houston Rockets,26.7,45.0,37.0,48,34,2.29,0.42,2.71,106.7,104.2,2.5,90.4,0.321,0.217,0.538,0.492,14.0,27.5,0.244,0.475,12.6,71.9,0.206,0,2000,0,0,0,0,0,West,2.0879999999999974,19.0,103.9,100.3,3.5,0.54,6.7,21.3,15.9,0.449,0.354,14.4,0.522,0.625,0.0,15.0,10.0,9.0,5.0,11.0,6.0,7.0,10.0,5.0,3.0,24.0,26.0,15.0,9.0,17.0,12.0,12.0,20.0,14.0
Charlotte Hornets,28.2,46.0,36.0,48,34,2.1,-0.65,1.45,101.8,99.5,2.3,89.4,0.33,0.151,0.506,0.457,13.7,29.8,0.246,0.456,14.1,74.5,0.222,1,2000,0,0,0,0,1,East,0.5879999999999974,3.0,101.8,97.2,4.6,0.515,4.5,25.1,15.6,0.426,0.36,15.9,0.489,0.645,1.0,14.0,14.0,15.0,16.0,13.0,23.0,13.0,4.0,17.0,18.0,6.0,20.0,18.0,7.0,6.0,4.0,10.0,4.0,19.0
Phoenix Suns,28.6,51.0,31.0,48,34,2.21,0.42,2.63,100.3,98.0,2.3,93.1,0.292,0.156,0.506,0.46,14.1,27.3,0.221,0.46,16.3,73.7,0.252,1,2000,0,0,0,1,1,West,0.1879999999999952,1.0,99.6,98.1,1.5,0.507,4.3,24.4,16.1,0.435,0.349,18.4,0.63,0.676,1.0,8.0,13.0,10.0,22.0,13.0,23.0,18.0,15.0,22.0,20.0,9.0,1.0,3.0,4.0,1.0,6.0,14.0,9.0,9.0
Minnesota Timberwolves,27.4,47.0,35.0,45,37,1.35,0.46,1.81,105.2,103.7,1.5,91.8,0.253,0.131,0.523,0.482,13.0,28.6,0.199,0.478,14.2,71.9,0.238,1,2000,0,0,0,0,1,West,1.387999999999998,14.0,103.6,102.5,1.1,0.519,4.2,27.1,14.8,0.452,0.351,16.2,0.535,0.469,1.0,12.0,15.0,12.0,11.0,15.0,10.0,8.0,17.0,16.0,23.0,2.0,15.0,12.0,17.0,15.0,19.0,5.0,21.0,11.0
Orlando Magic,26.0,43.0,39.0,44,38,0.99,-0.6,0.39,103.2,102.1,1.1,93.2,0.301,0.196,0.513,0.474,13.8,29.1,0.215,0.464,15.6,69.8,0.29,1,2000,0,0,0,0,0,East,2.7879999999999967,25.0,102.0,100.3,1.8,0.523,6.3,23.0,15.9,0.435,0.346,18.0,0.49,0.529,0.0,17.0,16.0,17.0,14.0,16.0,18.0,12.0,13.0,12.0,7.0,16.0,3.0,17.0,16.0,10.0,12.0,12.0,9.0,7.0
Seattle SuperSonics,27.9,44.0,38.0,41,41,0.02,0.52,0.55,105.6,105.6,0.0,91.6,0.299,0.176,0.53,0.491,14.3,29.1,0.219,0.488,13.9,69.8,0.199,0,2000,0,0,0,0,0,West,0.8879999999999981,7.0,103.6,103.6,0.0,0.532,6.1,23.4,16.4,0.453,0.349,16.1,0.511,0.533,1.0,16.0,17.0,16.0,9.0,17.0,8.0,8.0,19.0,10.0,8.0,13.0,16.0,16.0,15.0,24.0,21.0,16.0,22.0,9.0
Indiana Pacers,27.7,41.0,41.0,40,42,-0.2,-0.57,-0.77,102.0,102.2,-0.2,89.4,0.312,0.18,0.519,0.471,14.5,27.0,0.239,0.452,12.8,71.4,0.235,1,2000,1,1,0,0,1,East,1.0879999999999974,10.0,100.9,99.5,1.4,0.521,5.2,23.3,16.4,0.423,0.336,14.7,0.543,0.588,1.0,18.0,18.0,18.0,15.0,18.0,13.0,15.0,16.0,13.0,14.0,14.0,24.0,10.0,13.0,11.0,10.0,16.0,3.0,4.0
Detroit Pistons,27.1,32.0,50.0,36,46,-1.7,-0.39,-2.08,100.0,101.8,-1.8,94.7,0.325,0.162,0.498,0.453,14.2,29.3,0.234,0.466,14.0,72.2,0.233,0,2000,0,0,0,0,0,East,1.6879999999999953,15.0,97.1,95.4,1.7,0.489,4.9,20.5,16.4,0.434,0.348,16.0,0.372,0.406,1.0,21.0,19.0,20.0,24.0,19.0,27.0,26.0,14.0,27.0,15.0,27.0,18.0,24.0,21.0,8.0,1.0,16.0,8.0,8.0
Boston Celtics,25.9,36.0,46.0,35,47,-2.13,-0.26,-2.4,101.4,103.7,-2.3,92.6,0.338,0.252,0.521,0.473,14.7,25.3,0.25,0.493,16.0,72.7,0.256,0,2000,0,0,0,0,0,East,2.887999999999998,26.0,101.2,102.0,-0.9,0.534,7.6,22.0,16.6,0.459,0.368,18.1,0.449,0.424,0.0,20.0,20.0,22.0,17.0,20.0,12.0,14.0,20.0,9.0,1.0,22.0,2.0,20.0,19.0,15.0,18.0,20.0,24.0,25.0
