TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,105.6,109.4,-3.8,0.538,5.6,21.4,16.9,0.478,0.368,16.1,0.404,0.313,0,2005
1610612738,Boston Celtics,103.3,104.5,-1.1,0.56,6.0,22.2,17.6,0.456,0.353,15.7,0.364,0.433,1,2005
1610612766,Charlotte Bobcats,103.4,106.6,-3.2,0.524,5.5,21.9,14.9,0.478,0.356,18.6,0.378,0.429,0,2005
1610612741,Chicago Bulls,102.4,99.5,2.8,0.528,7.2,23.2,15.8,0.426,0.351,15.8,0.547,0.6,1,2005
1610612739,Cleveland Cavaliers,104.2,104.0,0.2,0.537,6.6,20.8,15.1,0.455,0.356,14.4,0.577,0.633,0,2005
1610612742,Dallas Mavericks,108.1,103.9,4.2,0.548,5.6,19.9,15.0,0.443,0.361,15.6,0.727,0.633,1,2005
1610612743,Denver Nuggets,103.3,102.4,0.9,0.541,4.4,24.4,15.4,0.454,0.358,16.8,0.537,0.571,1,2005
1610612765,Detroit Pistons,104.8,100.8,3.9,0.524,7.7,27.1,12.8,0.452,0.325,15.8,0.718,0.71,1,2005
1610612744,Golden State Warriors,100.0,104.4,-4.3,0.51,8.0,21.7,14.8,0.457,0.351,16.1,0.412,0.333,0,2005
1610612745,Houston Rockets,98.3,101.0,-2.7,0.523,6.4,21.5,16.2,0.429,0.369,14.9,0.4,0.414,1,2005
1610612754,Indiana Pacers,102.6,102.2,0.4,0.531,7.2,21.8,16.8,0.435,0.343,14.9,0.404,0.455,1,2005
1610612746,Los Angeles Clippers,104.0,101.2,2.8,0.548,3.8,22.3,15.4,0.435,0.347,13.7,0.575,0.548,0,2005
1610612747,Los Angeles Lakers,107.8,102.0,5.7,0.557,7.2,22.7,15.0,0.45,0.353,15.2,0.439,0.633,0,2005
1610612763,Memphis Grizzlies,106.8,99.6,7.2,0.563,8.2,21.9,15.7,0.436,0.334,16.8,0.545,0.667,1,2005
1610612748,Miami Heat,106.2,101.8,4.5,0.559,6.5,22.2,15.6,0.44,0.361,13.9,0.524,0.655,1,2005
1610612749,Milwaukee Bucks,107.3,107.5,-0.2,0.556,6.6,23.1,15.7,0.466,0.354,15.5,0.519,0.433,0,2005
1610612750,Minnesota Timberwolves,98.3,102.6,-4.2,0.52,4.2,23.2,16.0,0.441,0.364,15.4,0.389,0.333,0,2005
1610612751,New Jersey Nets,101.4,98.0,3.5,0.524,6.3,25.1,14.9,0.439,0.348,15.7,0.622,0.677,1,2005
1610612740,New Orleans/Oklahoma City Hornets,100.5,109.1,-8.6,0.509,4.0,20.4,14.7,0.459,0.367,16.1,0.553,0.3,0,2005
1610612752,New York Knicks,102.3,110.5,-8.2,0.553,4.2,19.2,19.0,0.467,0.378,15.1,0.39,0.267,0,2005
1610612753,Orlando Magic,107.0,104.1,2.9,0.561,4.0,20.2,16.8,0.454,0.357,14.9,0.419,0.548,0,2005
1610612755,Philadelphia 76ers,104.2,106.4,-2.1,0.55,4.8,21.2,14.9,0.463,0.351,16.3,0.522,0.433,1,2005
1610612756,Phoenix Suns,112.7,109.4,3.3,0.58,10.4,27.0,13.5,0.454,0.363,15.1,0.512,0.633,1,2005
1610612757,Portland Trail Blazers,97.9,111.8,-14.0,0.518,5.0,20.4,16.5,0.468,0.381,14.5,0.436,0.097,0,2005
1610612758,Sacramento Kings,106.5,101.4,5.1,0.548,6.4,23.7,15.6,0.454,0.351,15.6,0.525,0.69,1,2005
1610612759,San Antonio Spurs,108.1,98.8,9.3,0.553,7.1,23.3,15.3,0.433,0.339,15.4,0.744,0.767,1,2005
1610612760,Seattle SuperSonics,108.4,108.5,-0.1,0.565,7.9,22.1,15.7,0.485,0.375,15.5,0.523,0.517,1,2005
1610612761,Toronto Raptors,107.8,111.4,-3.6,0.542,7.9,20.7,13.9,0.491,0.373,15.2,0.367,0.241,0,2005
1610612762,Utah Jazz,104.9,107.9,-3.1,0.539,4.2,24.0,17.4,0.449,0.378,15.8,0.61,0.533,0,2005
1610612764,Washington Wizards,108.5,105.7,2.8,0.554,6.4,19.7,14.8,0.465,0.363,17.1,0.458,0.516,1,2005
