TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,100.6,107.3,-6.6,0.53,6.8,24.3,15.1,0.46,0.338,13.8,0.537,0.37,1,2010
1610612738,Boston Celtics,101.9,98.5,3.4,0.55,5.4,25.6,15.9,0.434,0.34,16.8,0.583,0.571,1,2010
1610612766,Charlotte Bobcats,100.5,107.6,-7.2,0.524,5.3,23.2,16.0,0.455,0.359,14.5,0.542,0.385,1,2010
1610612741,Chicago Bulls,108.5,97.3,11.2,0.549,6.8,24.2,15.4,0.43,0.326,15.4,0.705,0.857,1,2010
1610612739,Cleveland Cavaliers,101.4,107.1,-5.7,0.524,6.6,22.3,15.1,0.475,0.411,14.4,0.395,0.346,1,2010
1610612742,Dallas Mavericks,108.4,101.1,7.3,0.57,8.5,25.8,15.1,0.45,0.343,14.7,0.68,0.654,1,2010
1610612743,Denver Nuggets,109.0,99.4,9.7,0.567,8.4,23.0,14.7,0.459,0.344,14.3,0.532,0.72,1,2010
1610612765,Detroit Pistons,108.7,111.6,-2.9,0.551,6.4,23.3,14.4,0.486,0.358,15.6,0.386,0.36,0,2010
1610612744,Golden State Warriors,105.3,106.3,-1.0,0.538,8.7,23.3,15.1,0.467,0.358,16.7,0.477,0.37,0,2010
1610612745,Houston Rockets,110.5,103.5,7.0,0.558,8.6,24.8,14.1,0.468,0.358,14.3,0.404,0.68,0,2010
1610612754,Indiana Pacers,101.4,104.6,-3.2,0.529,7.4,20.5,16.0,0.449,0.359,14.5,0.455,0.464,0,2010
1610612746,Los Angeles Clippers,100.1,104.6,-4.6,0.538,6.6,23.5,17.4,0.455,0.365,14.6,0.489,0.423,0,2010
1610612747,Los Angeles Lakers,106.3,99.2,7.0,0.533,6.9,23.7,14.1,0.437,0.335,14.7,0.605,0.76,1,2010
1610612763,Memphis Grizzlies,107.8,102.8,5.0,0.547,4.0,22.1,15.0,0.457,0.369,17.9,0.477,0.6,0,2010
1610612748,Miami Heat,110.4,103.2,7.3,0.585,7.2,21.7,15.1,0.434,0.345,14.3,0.524,0.654,1,2010
1610612749,Milwaukee Bucks,100.2,99.5,0.7,0.524,6.5,20.7,14.8,0.447,0.334,16.7,0.468,0.519,1,2010
1610612750,Minnesota Timberwolves,100.0,108.7,-8.6,0.524,7.3,20.5,17.4,0.468,0.374,14.7,0.19,0.154,0,2010
1610612751,New Jersey Nets,101.8,109.3,-7.5,0.515,6.1,22.8,15.2,0.465,0.364,13.4,0.404,0.28,0,2010
1610612740,New Orleans Hornets,104.7,106.3,-1.6,0.539,6.0,22.9,14.5,0.457,0.357,16.1,0.617,0.542,0,2010
1610612752,New York Knicks,109.8,108.5,1.2,0.564,9.6,22.1,14.1,0.472,0.372,15.7,0.444,0.5,0,2010
1610612760,Oklahoma City Thunder,109.5,102.3,7.2,0.565,6.2,21.4,14.8,0.458,0.361,14.7,0.667,0.714,1,2010
1610612753,Orlando Magic,105.0,98.7,6.2,0.56,10.2,21.6,16.2,0.436,0.35,15.0,0.512,0.64,1,2010
1610612755,Philadelphia 76ers,104.2,102.5,1.7,0.533,5.7,24.1,13.8,0.451,0.34,15.2,0.419,0.538,0,2010
1610612756,Phoenix Suns,105.8,107.4,-1.7,0.55,8.8,24.5,14.7,0.472,0.367,15.0,0.511,0.464,1,2010
1610612757,Portland Trail Blazers,107.2,104.1,3.1,0.541,7.0,23.6,14.5,0.467,0.367,17.5,0.596,0.615,1,2010
1610612758,Sacramento Kings,101.6,107.6,-6.1,0.53,5.4,21.1,16.7,0.478,0.355,15.2,0.333,0.379,0,2010
1610612759,San Antonio Spurs,110.1,107.1,3.0,0.572,8.9,23.9,14.3,0.456,0.367,14.2,0.684,0.577,1,2010
1610612761,Toronto Raptors,104.5,111.6,-7.1,0.541,4.5,23.2,15.6,0.482,0.376,14.8,0.357,0.269,0,2010
1610612762,Utah Jazz,104.1,110.3,-6.2,0.543,5.7,25.2,15.4,0.459,0.376,15.7,0.571,0.32,1,2010
1610612764,Washington Wizards,99.3,108.1,-8.8,0.502,5.0,20.2,16.0,0.471,0.373,16.4,0.41,0.286,0,2010
