TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,103.6,103.1,0.6,0.551,9.1,25.9,15.7,0.45,0.379,16.1,0.55,0.484,1,2012
1610612738,Boston Celtics,102.9,102.5,0.4,0.559,6.5,24.1,15.4,0.441,0.342,16.2,0.5,0.448,1,2012
1610612751,Brooklyn Nets,107.4,103.5,3.9,0.546,8.4,22.4,16.2,0.464,0.366,14.8,0.65,0.621,0,2012
1610612766,Charlotte Bobcats,98.9,110.3,-11.3,0.512,6.1,20.8,15.1,0.471,0.388,15.1,0.4,0.3,0,2012
1610612741,Chicago Bulls,100.7,102.9,-2.2,0.512,6.0,25.3,15.7,0.443,0.346,15.1,0.592,0.5,1,2012
1610612739,Cleveland Cavaliers,101.2,107.1,-5.9,0.516,7.1,22.1,15.0,0.476,0.372,16.3,0.408,0.276,0,2012
1610612742,Dallas Mavericks,105.6,103.8,1.8,0.554,7.7,24.1,14.4,0.445,0.359,15.2,0.489,0.6,1,2012
1610612743,Denver Nuggets,109.8,100.7,9.0,0.562,6.5,25.2,15.7,0.444,0.363,16.4,0.617,0.857,1,2012
1610612765,Detroit Pistons,100.4,109.7,-9.2,0.528,6.8,23.0,16.4,0.459,0.36,14.9,0.342,0.286,0,2012
1610612744,Golden State Warriors,104.5,101.1,3.4,0.547,8.3,23.4,15.7,0.439,0.347,14.1,0.6,0.567,0,2012
1610612745,Houston Rockets,107.2,101.6,5.5,0.566,10.9,23.8,16.9,0.454,0.368,15.1,0.523,0.593,0,2012
1610612754,Indiana Pacers,104.7,98.1,6.7,0.541,7.5,22.2,16.5,0.42,0.327,14.8,0.535,0.607,1,2012
1610612746,Los Angeles Clippers,110.3,104.2,6.1,0.571,8.3,25.9,15.9,0.443,0.373,17.5,0.531,0.654,1,2012
1610612747,Los Angeles Lakers,107.0,104.0,3.0,0.554,9.1,23.2,15.7,0.453,0.357,13.6,0.556,0.714,1,2012
1610612763,Memphis Grizzlies,103.5,97.0,6.6,0.52,5.2,23.2,15.5,0.435,0.338,17.1,0.6,0.742,1,2012
1610612748,Miami Heat,110.3,98.3,11.9,0.597,9.5,25.0,15.1,0.44,0.35,16.9,0.8,0.938,1,2012
1610612749,Milwaukee Bucks,102.9,104.3,-1.4,0.518,7.6,23.7,14.6,0.454,0.348,16.6,0.568,0.387,0,2012
1610612750,Minnesota Timberwolves,100.0,103.3,-3.3,0.521,5.8,23.8,15.7,0.468,0.369,16.9,0.39,0.375,0,2012
1610612740,New Orleans Hornets,103.2,111.2,-8.0,0.52,7.3,23.3,16.2,0.471,0.374,14.7,0.349,0.276,0,2012
1610612752,New York Knicks,108.3,104.3,4.0,0.556,11.9,21.2,13.2,0.458,0.357,16.6,0.564,0.688,1,2012
1610612760,Oklahoma City Thunder,110.4,98.2,12.2,0.575,7.7,22.5,16.0,0.425,0.346,15.5,0.568,0.724,1,2012
1610612753,Orlando Magic,97.8,109.0,-11.3,0.505,6.6,24.5,15.6,0.463,0.359,13.3,0.279,0.167,1,2012
1610612755,Philadelphia 76ers,100.6,104.8,-4.2,0.515,6.8,24.7,14.1,0.454,0.349,15.5,0.452,0.387,1,2012
1610612756,Phoenix Suns,97.3,106.9,-9.6,0.512,6.2,23.8,16.4,0.47,0.388,16.1,0.4,0.276,0,2012
1610612757,Portland Trail Blazers,104.3,109.4,-5.1,0.546,8.8,23.3,15.7,0.474,0.34,14.0,0.478,0.276,0,2012
1610612758,Sacramento Kings,107.3,108.8,-1.5,0.555,7.8,21.9,15.4,0.472,0.355,15.5,0.447,0.321,0,2012
1610612759,San Antonio Spurs,103.2,100.6,2.6,0.553,8.4,26.1,15.3,0.442,0.353,15.5,0.651,0.571,1,2012
1610612761,Toronto Raptors,101.0,104.4,-3.3,0.534,7.5,23.3,14.8,0.458,0.361,15.4,0.396,0.448,0,2012
1610612762,Utah Jazz,103.7,104.3,-0.5,0.535,6.6,24.4,15.9,0.458,0.37,15.8,0.535,0.464,1,2012
1610612764,Washington Wizards,101.9,102.2,-0.2,0.529,7.1,23.1,16.1,0.44,0.349,15.5,0.302,0.452,0,2012
