TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,98.7,108.6,-9.9,0.536,11.3,24.0,15.7,0.469,0.377,15.3,0.386,0.261,1,2017
1610612738,Boston Celtics,107.4,103.3,4.1,0.562,11.8,23.1,14.4,0.44,0.339,14.5,0.63,0.652,1,2017
1610612751,Brooklyn Nets,107.4,110.0,-2.6,0.571,12.6,23.6,15.1,0.466,0.369,12.3,0.38,0.391,0,2017
1610612766,Charlotte Hornets,111.7,109.6,2.1,0.574,10.1,21.7,12.8,0.468,0.375,13.7,0.39,0.48,0,2017
1610612741,Chicago Bulls,100.1,111.1,-11.1,0.522,11.1,23.6,14.1,0.472,0.37,13.6,0.512,0.28,1,2017
1610612739,Cleveland Cavaliers,111.6,109.0,2.7,0.579,12.1,23.6,13.9,0.474,0.368,13.6,0.667,0.615,1,2017
1610612742,Dallas Mavericks,103.4,107.5,-4.0,0.535,12.1,23.3,12.7,0.469,0.363,14.1,0.24,0.25,0,2017
1610612743,Denver Nuggets,112.8,111.1,1.7,0.586,11.6,25.4,15.1,0.476,0.378,14.0,0.512,0.583,0,2017
1610612765,Detroit Pistons,105.4,104.5,1.0,0.541,11.1,23.4,13.8,0.459,0.359,15.2,0.463,0.44,0,2017
1610612744,Golden State Warriors,108.7,105.6,3.1,0.58,11.2,29.1,15.3,0.447,0.357,14.2,0.655,0.583,1,2017
1610612745,Houston Rockets,109.8,101.7,8.1,0.577,15.5,21.9,14.1,0.462,0.351,14.8,0.714,0.84,1,2017
1610612754,Indiana Pacers,104.1,103.7,0.5,0.535,9.3,22.8,13.6,0.465,0.349,15.9,0.591,0.625,1,2017
1610612746,LA Clippers,109.0,111.3,-2.3,0.567,9.5,22.4,14.7,0.459,0.356,14.1,0.512,0.462,1,2017
1610612747,Los Angeles Lakers,107.4,105.5,1.9,0.569,9.8,23.3,15.5,0.456,0.346,14.0,0.476,0.48,0,2017
1610612763,Memphis Grizzlies,100.0,111.6,-11.7,0.529,9.6,22.5,15.6,0.462,0.368,15.4,0.293,0.154,1,2017
1610612748,Miami Heat,107.7,103.0,4.7,0.552,11.3,23.3,14.8,0.45,0.36,14.5,0.547,0.583,0,2017
1610612749,Milwaukee Bucks,108.9,109.5,-0.6,0.572,9.0,23.8,14.2,0.468,0.372,16.0,0.553,0.48,1,2017
1610612750,Minnesota Timberwolves,109.2,108.6,0.6,0.558,8.2,23.3,12.8,0.475,0.366,15.5,0.524,0.524,0,2017
1610612740,New Orleans Pelicans,107.7,103.0,4.7,0.564,9.9,26.0,14.5,0.454,0.355,14.0,0.6,0.68,0,2017
1610612752,New York Knicks,105.3,112.8,-7.5,0.541,8.4,23.7,15.0,0.457,0.368,13.6,0.343,0.261,0,2017
1610612760,Oklahoma City Thunder,108.8,106.3,2.5,0.553,11.0,21.8,14.3,0.458,0.367,16.4,0.522,0.652,1,2017
1610612753,Orlando Magic,98.6,105.5,-6.9,0.524,10.4,23.7,14.7,0.468,0.362,14.4,0.341,0.28,0,2017
1610612755,Philadelphia 76ers,111.5,100.8,10.7,0.58,10.9,26.8,16.3,0.434,0.342,14.1,0.578,0.815,0,2017
1610612756,Phoenix Suns,99.1,110.3,-11.3,0.529,9.2,21.0,15.5,0.471,0.373,13.2,0.421,0.13,0,2017
1610612757,Portland Trail Blazers,107.7,102.2,5.5,0.545,10.6,20.0,13.9,0.447,0.364,13.0,0.556,0.708,1,2017
1610612758,Sacramento Kings,101.6,106.8,-5.1,0.522,9.4,22.5,14.3,0.47,0.377,14.9,0.524,0.36,0,2017
1610612759,San Antonio Spurs,106.7,103.9,2.8,0.538,8.8,23.7,13.7,0.453,0.348,14.7,0.541,0.522,1,2017
1610612761,Toronto Raptors,111.5,105.1,6.4,0.58,11.9,24.6,13.5,0.449,0.357,14.5,0.568,0.72,1,2017
1610612762,Utah Jazz,106.9,96.0,10.8,0.568,11.2,23.1,15.2,0.449,0.365,15.4,0.552,0.75,1,2017
1610612764,Washington Wizards,106.4,108.3,-1.9,0.56,10.1,25.5,14.8,0.462,0.349,15.1,0.467,0.4,1,2017
