TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,99.9,101.0,-1.1,0.52,5.5,21.6,16.6,0.459,0.355,16.1,0.489,0.515,0,2001
1610612738,Boston Celtics,102.2,97.8,4.4,0.535,9.0,22.3,14.4,0.425,0.34,17.3,0.588,0.636,0,2001
1610612766,Charlotte Hornets,102.6,99.2,3.3,0.517,4.6,23.5,15.4,0.432,0.375,15.2,0.551,0.618,1,2001
1610612741,Chicago Bulls,100.0,108.9,-8.8,0.52,4.0,24.1,16.6,0.465,0.358,15.6,0.409,0.286,0,2001
1610612739,Cleveland Cavaliers,103.5,105.2,-1.6,0.531,5.1,25.0,15.8,0.457,0.394,14.1,0.45,0.412,0,2001
1610612742,Dallas Mavericks,109.7,104.3,5.4,0.554,7.9,23.1,12.7,0.452,0.35,14.8,0.641,0.667,1,2001
1610612743,Denver Nuggets,96.1,104.1,-8.0,0.496,5.6,24.1,16.0,0.459,0.361,15.6,0.463,0.351,0,2001
1610612765,Detroit Pistons,103.7,100.0,3.6,0.544,7.6,23.5,15.9,0.447,0.362,17.0,0.6,0.686,0,2001
1610612744,Golden State Warriors,101.2,107.5,-6.2,0.513,4.1,21.6,17.5,0.459,0.348,14.9,0.195,0.194,0,2001
1610612745,Houston Rockets,99.0,107.0,-8.0,0.496,6.7,19.9,15.5,0.464,0.36,13.3,0.414,0.364,0,2001
1610612754,Indiana Pacers,101.8,101.0,0.8,0.531,5.2,24.4,16.2,0.438,0.348,15.2,0.429,0.531,1,2001
1610612746,Los Angeles Clippers,103.4,104.7,-1.3,0.519,5.4,22.8,16.1,0.448,0.355,14.0,0.463,0.452,0,2001
1610612747,Los Angeles Lakers,106.4,101.0,5.4,0.541,6.6,24.5,13.5,0.424,0.317,14.9,0.59,0.694,1,2001
1610612763,Memphis Grizzlies,95.6,104.2,-8.6,0.502,4.4,23.4,17.6,0.457,0.358,15.8,0.372,0.273,0,2001
1610612748,Miami Heat,98.3,98.4,-0.1,0.508,4.2,22.7,16.6,0.425,0.342,15.4,0.472,0.514,1,2001
1610612749,Milwaukee Bucks,103.5,104.8,-1.3,0.542,7.8,24.3,15.2,0.441,0.358,13.9,0.565,0.361,1,2001
1610612750,Minnesota Timberwolves,105.3,103.0,2.4,0.534,5.2,26.3,14.5,0.445,0.372,14.5,0.537,0.515,1,2001
1610612751,New Jersey Nets,101.7,98.3,3.4,0.522,5.2,25.8,15.4,0.429,0.348,17.1,0.561,0.571,0,2001
1610612752,New York Knicks,100.5,105.5,-5.0,0.525,6.3,23.0,15.9,0.445,0.353,14.7,0.426,0.314,1,2001
1610612753,Orlando Magic,104.5,103.8,0.7,0.542,7.9,23.1,14.3,0.456,0.352,16.5,0.528,0.576,1,2001
1610612755,Philadelphia 76ers,101.7,99.7,2.0,0.517,2.9,22.1,16.9,0.426,0.331,16.3,0.522,0.545,1,2001
1610612756,Phoenix Suns,98.3,101.5,-3.2,0.504,4.7,24.0,15.7,0.444,0.358,16.5,0.444,0.353,1,2001
1610612757,Portland Trail Blazers,103.9,98.8,5.2,0.521,6.2,25.7,15.7,0.453,0.363,16.1,0.6,0.706,1,2001
1610612758,Sacramento Kings,106.8,98.9,7.9,0.541,5.4,24.6,14.2,0.44,0.337,15.7,0.742,0.727,1,2001
1610612759,San Antonio Spurs,104.8,95.9,8.9,0.544,5.8,21.8,15.7,0.426,0.338,15.8,0.568,0.794,1,2001
1610612760,Seattle SuperSonics,107.2,101.5,5.7,0.545,6.5,25.8,15.1,0.449,0.344,16.8,0.455,0.588,0,2001
1610612761,Toronto Raptors,98.3,101.6,-3.3,0.498,5.2,24.0,15.8,0.441,0.346,16.9,0.563,0.406,1,2001
1610612762,Utah Jazz,102.7,100.2,2.5,0.528,3.7,26.4,17.8,0.447,0.383,18.1,0.465,0.576,1,2001
1610612764,Washington Wizards,101.4,105.5,-4.0,0.515,4.1,23.2,14.4,0.452,0.354,14.8,0.488,0.314,0,2001
