TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,100.7,112.2,-11.4,0.519,4.0,21.0,17.1,0.476,0.379,15.7,0.237,0.097,0,2004
1610612738,Boston Celtics,105.9,104.6,1.3,0.554,5.6,23.1,16.5,0.444,0.356,16.3,0.588,0.621,1,2004
1610612766,Charlotte Bobcats,98.9,105.2,-6.3,0.509,4.1,23.2,15.4,0.463,0.361,16.8,0.255,0.219,0,2004
1610612741,Chicago Bulls,99.4,97.2,2.2,0.511,6.6,22.6,17.8,0.422,0.334,16.5,0.617,0.636,0,2004
1610612739,Cleveland Cavaliers,101.3,105.6,-4.4,0.501,4.0,24.6,15.2,0.452,0.376,16.1,0.447,0.387,0,2004
1610612742,Dallas Mavericks,108.5,101.2,7.4,0.546,6.0,20.8,14.2,0.438,0.33,16.5,0.698,0.742,1,2004
1610612743,Denver Nuggets,109.0,99.0,10.0,0.56,4.1,25.1,15.7,0.447,0.345,17.2,0.564,0.862,1,2004
1610612765,Detroit Pistons,105.0,100.6,4.4,0.523,4.9,24.3,15.4,0.43,0.338,15.4,0.625,0.71,1,2004
1610612744,Golden State Warriors,108.5,104.3,4.3,0.539,8.0,23.1,14.2,0.458,0.363,16.1,0.449,0.655,0,2004
1610612745,Houston Rockets,107.2,98.1,9.1,0.545,7.4,23.2,15.2,0.423,0.338,14.6,0.558,0.655,1,2004
1610612754,Indiana Pacers,104.9,100.9,4.1,0.539,7.4,20.3,16.0,0.44,0.365,15.5,0.5,0.613,1,2004
1610612746,Los Angeles Clippers,103.0,105.0,-2.0,0.541,3.1,25.1,17.1,0.444,0.368,14.8,0.46,0.483,0,2004
1610612747,Los Angeles Lakers,105.5,113.2,-7.7,0.53,8.5,22.0,15.5,0.453,0.361,12.7,0.469,0.25,1,2004
1610612763,Memphis Grizzlies,100.7,100.2,0.5,0.533,7.2,23.3,16.3,0.432,0.351,17.7,0.542,0.517,1,2004
1610612748,Miami Heat,107.8,98.1,9.7,0.556,6.2,23.4,14.7,0.427,0.348,14.2,0.595,0.679,1,2004
1610612749,Milwaukee Bucks,105.5,108.0,-2.5,0.54,4.3,22.7,14.9,0.464,0.343,14.1,0.426,0.313,1,2004
1610612750,Minnesota Timberwolves,105.2,103.4,1.8,0.535,5.3,25.8,14.5,0.438,0.363,12.9,0.527,0.607,1,2004
1610612751,New Jersey Nets,100.7,99.3,1.4,0.513,5.8,23.6,15.5,0.439,0.368,17.1,0.59,0.655,1,2004
1610612740,New Orleans Hornets,95.7,104.7,-9.0,0.494,5.6,23.4,16.5,0.452,0.367,15.8,0.313,0.241,1,2004
1610612752,New York Knicks,105.1,107.6,-2.5,0.541,5.8,21.8,15.8,0.465,0.364,15.7,0.34,0.414,1,2004
1610612753,Orlando Magic,101.8,107.9,-6.1,0.524,4.1,20.1,16.8,0.451,0.343,15.1,0.531,0.267,0,2004
1610612755,Philadelphia 76ers,101.5,100.8,0.7,0.532,6.3,21.4,16.0,0.443,0.362,17.5,0.592,0.586,0,2004
1610612756,Phoenix Suns,111.2,104.2,7.0,0.57,9.9,24.0,14.0,0.445,0.335,14.1,0.692,0.75,0,2004
1610612757,Portland Trail Blazers,100.1,106.1,-6.1,0.533,5.6,23.0,17.5,0.447,0.343,14.7,0.333,0.194,0,2004
1610612758,Sacramento Kings,109.1,107.1,2.0,0.54,6.7,25.6,13.7,0.459,0.357,15.4,0.6,0.586,1,2004
1610612759,San Antonio Spurs,101.9,98.6,3.3,0.519,6.8,23.8,15.1,0.426,0.367,16.7,0.5,0.621,1,2004
1610612760,Seattle SuperSonics,104.7,106.8,-2.1,0.525,9.1,20.2,15.1,0.459,0.357,14.8,0.651,0.531,0,2004
1610612761,Toronto Raptors,106.3,106.4,-0.1,0.553,8.3,21.5,14.0,0.467,0.356,15.2,0.413,0.414,0,2004
1610612762,Utah Jazz,98.4,105.2,-6.8,0.505,3.4,24.6,17.4,0.458,0.375,16.0,0.341,0.3,0,2004
1610612764,Washington Wizards,104.0,103.5,0.4,0.528,6.6,20.0,15.0,0.459,0.364,16.7,0.569,0.5,0,2004
