TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,105.3,100.0,5.3,0.551,8.0,24.2,15.1,0.444,0.344,16.3,0.667,0.625,1,2011
1610612738,Boston Celtics,99.5,95.0,4.5,0.538,6.0,25.7,16.2,0.419,0.308,17.1,0.581,0.706,1,2011
1610612766,Charlotte Bobcats,92.9,108.0,-15.1,0.485,4.3,21.8,15.7,0.475,0.356,14.6,0.208,0.088,0,2011
1610612741,Chicago Bulls,103.6,95.7,7.9,0.514,7.0,25.5,15.4,0.421,0.325,14.6,0.733,0.742,1,2011
1610612739,Cleveland Cavaliers,97.7,109.5,-11.8,0.503,7.2,21.3,16.6,0.467,0.362,14.9,0.355,0.229,0,2011
1610612742,Dallas Mavericks,102.6,103.7,-1.1,0.536,8.0,22.3,14.9,0.435,0.346,15.7,0.469,0.469,1,2011
1610612743,Denver Nuggets,108.8,105.0,3.8,0.559,6.9,24.9,16.0,0.456,0.383,16.2,0.529,0.645,1,2011
1610612765,Detroit Pistons,99.3,102.2,-2.8,0.521,5.3,20.5,17.2,0.462,0.355,16.0,0.452,0.452,0,2011
1610612744,Golden State Warriors,101.9,106.9,-5.1,0.535,8.4,23.7,14.7,0.453,0.365,15.7,0.316,0.278,0,2011
1610612745,Houston Rockets,103.2,104.3,-1.1,0.529,7.7,22.6,15.4,0.456,0.325,15.6,0.535,0.438,0,2011
1610612754,Indiana Pacers,106.0,103.2,2.8,0.535,6.4,20.1,15.1,0.435,0.351,16.1,0.7,0.636,1,2011
1610612746,Los Angeles Clippers,105.8,103.5,2.2,0.531,8.6,23.1,14.7,0.447,0.365,16.1,0.525,0.571,0,2011
1610612747,Los Angeles Lakers,106.1,105.4,0.7,0.546,5.9,24.2,16.2,0.437,0.348,12.1,0.721,0.656,1,2011
1610612763,Memphis Grizzlies,103.5,99.8,3.6,0.522,4.5,21.2,15.7,0.444,0.345,18.5,0.628,0.688,1,2011
1610612748,Miami Heat,100.3,97.4,3.0,0.525,6.0,21.4,16.3,0.434,0.363,18.0,0.621,0.594,1,2011
1610612749,Milwaukee Bucks,105.2,102.7,2.5,0.536,7.0,24.8,14.8,0.449,0.351,16.8,0.45,0.545,0,2011
1610612750,Minnesota Timberwolves,102.9,108.3,-5.4,0.528,7.5,20.6,16.0,0.455,0.34,14.0,0.39,0.281,0,2011
1610612751,New Jersey Nets,98.8,104.8,-6.0,0.511,8.4,21.7,16.5,0.472,0.374,15.6,0.406,0.387,0,2011
1610612740,New Orleans Hornets,100.1,102.5,-2.5,0.532,4.4,23.1,17.3,0.444,0.317,15.4,0.4,0.394,1,2011
1610612752,New York Knicks,105.5,99.8,5.7,0.547,8.3,21.3,16.9,0.442,0.359,18.0,0.516,0.613,1,2011
1610612760,Oklahoma City Thunder,107.9,100.9,7.0,0.564,7.5,19.5,17.2,0.427,0.342,14.9,0.563,0.625,1,2011
1610612753,Orlando Magic,103.9,105.4,-1.5,0.538,11.2,22.1,16.5,0.449,0.347,14.5,0.515,0.484,1,2011
1610612755,Philadelphia 76ers,101.2,99.0,2.2,0.508,5.8,24.2,12.3,0.427,0.334,15.3,0.259,0.469,1,2011
1610612756,Phoenix Suns,107.1,104.9,2.2,0.546,7.2,24.1,15.0,0.455,0.352,15.0,0.485,0.594,0,2011
1610612757,Portland Trail Blazers,103.2,110.9,-7.7,0.532,7.8,22.0,15.2,0.463,0.363,16.0,0.375,0.313,1,2011
1610612758,Sacramento Kings,104.4,107.8,-3.3,0.528,6.5,20.1,15.0,0.476,0.355,16.0,0.455,0.333,0,2011
1610612759,San Antonio Spurs,112.9,100.1,12.8,0.583,8.9,24.6,14.4,0.452,0.353,14.6,0.71,0.813,1,2011
1610612761,Toronto Raptors,100.8,101.9,-1.1,0.53,6.1,23.0,16.7,0.435,0.328,14.5,0.353,0.394,0,2011
1610612762,Utah Jazz,105.5,103.7,1.9,0.53,4.4,23.1,15.0,0.453,0.34,15.5,0.585,0.618,0,2011
1610612764,Washington Wizards,101.0,102.8,-1.8,0.522,5.6,20.4,16.3,0.453,0.35,16.2,0.333,0.394,0,2011
