Season_Year,TEAM_NAME,Diff_PTS,Diff_eFG,Diff_REB,Diff_TOV
2001,Atlanta Hawks,-5.207317073170728,-0.01792276247602187,-0.5487804878048763,1.9024390243902438
2001,Boston Celtics,-2.1341463414634063,-0.020582544362078348,-3.3414634146341484,-1.4268292682926838
2001,Charlotte Hornets,2.0975609756097526,0.0021536115930870237,3.8170731707317103,-0.25609756097560954
2001,Chicago Bulls,-9.097560975609753,-0.05028744039737004,-3.9268292682926855,0.9146341463414629
2001,Cleveland Cavaliers,-4.243902439024396,-0.017554450985569958,0.792682926829265,1.4756097560975618
2001,Dallas Mavericks,4.2804878048780495,0.03019651022138664,-3.5243902439024453,-1.6097560975609753
2001,Denver Nuggets,-2.4634146341463463,-0.006668198382912716,-0.3292682926829258,0.7439024390243905
2001,Detroit Pistons,-1.6951219512195053,-0.012914116475467974,0.6219512195121979,0.3658536585365848
2001,Golden State Warriors,-9.048780487804876,-0.07512874867290076,-0.024390243902445263,-0.5731707317073162
2001,Houston Rockets,2.292682926829272,0.01793449850605522,0.4268292682926784,1.3658536585365866
2001,Indiana Pacers,-0.19512195121950526,0.019363310541198886,-0.2560975609756113,1.5731707317073162
2001,Los Angeles Clippers,-2.8902439024390247,0.00977093583559241,0.48780487804877737,3.024390243902438
2001,Los Angeles Lakers,3.378048780487802,0.028615937586301043,3.414634146341463,1.3536585365853657
2001,Miami Heat,2.292682926829272,0.007468044607880198,-2.3658536585365866,-1.8658536585365848
2001,Milwaukee Bucks,3.878048780487802,0.025501981932913587,-0.35365853658537105,-1.8292682926829258
2001,Minnesota Timberwolves,1.353658536585371,0.0025098458421279335,0.0,-1.3414634146341466
2001,New Jersey Nets,-5.048780487804876,-0.037138741394615815,-4.597560975609753,-1.1707317073170724
2001,New York Knicks,2.6341463414634205,0.023125109845641367,0.0853658536585371,-0.32926829268292757
2001,Orlando Magic,0.9878048780487916,0.01055180223681923,-1.8414634146341484,-1.987804878048781
2001,Philadelphia 76ers,4.2804878048780495,0.006563573250360832,3.9512195121951237,0.3780487804878039
2001,Phoenix Suns,2.207317073170742,0.00042612781778744724,0.10975609756097526,-2.2317073170731714
2001,Portland Trail Blazers,4.1951219512195195,0.026581535559925595,3.1341463414634134,0.5
2001,Sacramento Kings,5.817073170731717,0.025286484013403776,-0.8780487804878092,-1.3780487804878057
2001,San Antonio Spurs,7.756097560975604,0.05151363048558816,2.621951219512191,0.463414634146341
2001,Seattle SuperSonics,0.024390243902445263,0.003266973952132546,-0.6829268292682968,0.2926829268292668
2001,Toronto Raptors,2.256097560975604,-0.0075182024279222825,2.560975609756099,-0.9268292682926838
2001,Utah Jazz,4.6951219512195195,0.02314563048652024,3.2804878048780495,-0.29268292682926855
2001,Vancouver Grizzlies,-5.731707317073173,-0.027155561560214536,-3.182926829268297,0.9024390243902438
2001,Washington Wizards,-6.670731707317074,-0.04110477717964783,0.5487804878048763,1.9634146341463428
2002,Atlanta Hawks,-4.231707317073173,-0.023845274387882087,-1.5487804878048834,0.43902439024390283
